model,params_b,status,error,benchmark_rows
OEvortex/HelpingAI-3B-reloaded,2.81,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
OliveiraJLT/Sagui-7B-Instruct-v0.1,6.738,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Omkar1102/code-yi,2.084,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Open-Orca/Mistral-7B-OpenOrca,7.0,no_samples,No samples_*.jsonl files found,{}
OpenBuddy/openbuddy-llama3.2-1b-v23.1-131k,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
OpenBuddy/openbuddy-llama3.2-3b-v23.2-131k,3.607,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
OpenBuddy/openbuddy-zero-3b-v21.2-32k,4.769,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
OpenLLM-France/Lucie-7B,6.707,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
OpenLLM-France/Lucie-7B-Instruct,6.707,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
OpenLLM-France/Lucie-7B-Instruct-human-data,6.707,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
OpenLLM-France/Lucie-7B-Instruct-v1.1,6.707,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/L3.2-Instruct-Thinking-v0.1-1B,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/LLaMa-3.1-RomboTiesTest-8B,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/LLaMa-3.1-RomboTiesTest2-8B,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.1-SFT-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PJMixers-Dev/Qwen2.5-RomboTiesTest-7B,3.808,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Pinkstack/PARM-V1.5-base-QwQ-Qwen-2.5-o1-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Pinkstack/Superthoughts-lite-1.8B-experimental-o1,1.812,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Pinkstack/Superthoughts-lite-v1,1.711,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PowerInfer/SmallThinker-3B-Preview,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
PygmalionAI/pygmalion-6b,6.0,no_samples,No samples_*.jsonl files found,{}
Q-bert/MetaMath-1B,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Quazim0t0/Heretic1.5b,1.73,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen1.5-0.5B,0.62,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen1.5-0.5B-Chat,0.62,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen1.5-1.8B,1.837,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen1.5-1.8B-Chat,1.837,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen1.5-4B,3.95,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen1.5-4B-Chat,3.95,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen2-0.5B,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2-0.5B-Instruct,0.494,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen2-1.5B,1.544,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen2-1.5B-Instruct,1.544,no_samples,No samples_*.jsonl files found,{}
Qwen/Qwen2.5-0.5B,0.5,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2.5-0.5B-Instruct,0.494,ok,,"{""ifeval"": null, ""bbh"": null, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2.5-1.5B,1.5,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2.5-1.5B-Instruct,1.5,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2.5-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2.5-3B-Instruct,3.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2.5-Math-1.5B-Instruct,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Qwen/Qwen2.5-Math-7B-Instruct,7.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
RESMPDEV/EVA-Qwen2.5-1.5B-FRFR,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
RESMPDEV/Qwen2-Wukong-0.5B,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Rakuten/RakutenAI-2.0-mini-instruct,1.535,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Replete-AI/Replete-Coder-Qwen2-1.5b,1.544,no_samples,No samples_*.jsonl files found,{}
RezVortex/JAJUKA-WEWILLNEVERFORGETYOU-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
RezVortex/Jajuka-3b,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SaisExperiments/Evil-Alpaca-3B-L3.2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SaisExperiments/Gemma-2-2B-Opus-Instruct,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SaisExperiments/Gemma-2-2B-Stheno-Filtered,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SaisExperiments/RightSheep-Llama3.2-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Anemoi-3B,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Llama3.2-3B-Uranus-1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Neptuno-3B,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Neptuno-Alpha,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Phi3.5-Comets-3.8B,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Qwen2.5-1B-Instruct,0.988,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/QwenTest-7,0.988,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-0.5B,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-1.5B-Alpha,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-1.5B-Alpha-1.1,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-1.7B,1.684,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-2.4B,2.432,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-2B,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-2B-V1.1,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-3.7B,3.783,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-4B,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJT-900M,0.899,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJTPass-2,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJTPass-4,1.167,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SJTPass-5,0.809,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Saba-Passthrough-2,3.087,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Saba1-1.8B,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Saba1.5-1.5B,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Saba1.5-Pro-3B,2.9,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Saba2-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Sailor-japanese,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Saka-1.5B,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/SakaMoe-3x1.6B-Instruct,1.572,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/Tara-3.8B-v1.1,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/light-1.1-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/light-3B,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/light-3b-beta,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/qwen2.5-2.3B,2.339,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sakalti/tara-3.8B,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sharathhebbar24/SSH_355M,0.355,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Shreyash2010/Uma-4x4B-Instruct-v0.1,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sicarius-Prototyping/Micropenis_1B,0.618,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SicariusSicariiStuff/2B-ad,3.204,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SicariusSicariiStuff/2B_or_not_2B,2.506,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SicariusSicariiStuff/Eximius_Persona_5B,5.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SicariusSicariiStuff/Impish_LLAMA_3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch3,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch5,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-v2-epoch3,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-v2-epoch5,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch3,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SkyOrbis/SKY-Ko-Qwen2.5-3B-Instruct,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Sourjayon/DeepSeek-R1-ForumNXT,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SpaceYL/ECE_Poirot,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Spestly/Athena-1-3B,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Spestly/Atlas-Pro-1.5B-Preview,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SultanR/SmolTulu-1.7b-Instruct,1.711,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SultanR/SmolTulu-1.7b-Reinforced,1.711,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
SultanR/SmolTulu-1.7b-it-v0,1.711,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
T145/KRONOS-8B-V7,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
T145/ZEUS-8B-V15,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
T145/ZEUS-8B-V2-ORPO,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
T145/qwen-2.5-3B-merge-test,3.397,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,2.506,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
TheDrummer/Gemmasutra-Mini-2B-v1,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
TinyLlama/TinyLlama-1.1B-Chat-v0.1,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
TinyLlama/TinyLlama-1.1B-Chat-v0.5,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
TinyLlama/TinyLlama-1.1B-Chat-v0.6,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
TinyLlama/TinyLlama_v1.1,1.1,no_samples,No samples_*.jsonl files found,{}
Triangle104/Dolphin3-Llama3.2-Smart,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/Hermes-Llama-3.2-CoT,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/Hermes-Llama-3.2-CoT-Summary,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/Minerva-1.5b,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/Minerva-1.5b_V0.2,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/Porpoise-R1-Llama3.2-3b,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/Q2.5-CodeR1-3B,3.085,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/Q2.5-R1-3B,3.085,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Triangle104/RomboHermes3-R1-Llama3.2-3b,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
V3N0M/Jenna-Tiny-2.0,0.631,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
VAGOsolutions/SauerkrautLM-1.5b,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
VAGOsolutions/SauerkrautLM-Gemma-2b,2.506,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
VAGOsolutions/SauerkrautLM-gemma-2-2b-it,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ValiantLabs/Llama3.2-3B-Enigma,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ValiantLabs/Llama3.2-3B-Esper2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ValiantLabs/Llama3.2-3B-ShiningValiant2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Weyaxi/Einstein-v8-Llama3.2-1B,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Wladastic/Mini-Think-Base-1B,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Xiaojian9992024/Llama3.2-1B-THREADRIPPER-v0.2,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Xiaojian9992024/Phi-4-mini-UNOFFICAL,3.754,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Xiaojian9992024/Reflection-L3.2-JametMiniMix-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Yash21/TinyYi-7B-Test,6.061,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,6.061,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/3PRYMMAL-PHI3-3B-SLERP,3.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL-0.5B-FT-V3,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL-0.5B-SLERP-V2,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL-0.5B-SLERP-V3,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V1,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL-YL-1B-SLERP-V2,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL0.5-FT,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL0.5B-Youri,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-PRYMMAL1B-FT-V1,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE-Qwen0.5B-FT-V2,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Youlln/ECE.EIFFEIL.ia-0.5B-SLERP,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
agentlans/Llama-3.2-1B-Instruct-CrashCourse12K,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
agentlans/Qwen2.5-0.5B-Instruct-CrashCourse-dropout,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ahmeda335/13_outOf_32_pruned_layers_llama3.1-8b,5.195,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ai4bharat/Airavata,6.87,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
akhadangi/Llama3.2.1B.0.01-First,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
